 12 CHELPG ESP fitting atomic charge
   Center       Charge
     1(C )   0.0118295065
     2(C )  -0.0630665928
     3(C )   0.5587205997
     4(C )   0.0047216954
     5(C )   0.2748179926
     6(C )  -0.1085483131
     7(C )  -0.4434020498
     8(C )   0.2827494330
     9(C )  -0.1158149129
    10(C )  -0.0608424844
    11(C )   0.2927464796
    12(C )  -0.3043989962
    13(C )   0.1323726054
    14(C )   0.1274264761
    15(C )  -0.0899322117
    16(C )  -0.1636299558
    17(C )  -0.3649592837
    18(C )   0.0078208797
    19(C )  -0.1509621577
    20(C )   0.4567510814
    21(C )  -0.2702505094
    22(C )  -0.2518200038
    23(C )  -0.3753862906
    24(C )  -0.2755001785
    25(H )  -0.0270627345
    26(H )   0.0041230435
    27(H )  -0.0180841421
    28(H )  -0.0238952863
    29(H )  -0.0411526915
    30(H )   0.0006264135
    31(H )   0.0198692842
    32(H )   0.0912725072
    33(H )   0.1031009661
    34(H )   0.0647479732
    35(H )  -0.1036511836
    36(H )   0.0134929576
    37(H )   0.0025609298
    38(H )  -0.0119932464
    39(H )   0.0080099850
    40(H )  -0.0728769346
    41(H )   0.0525075179
    42(H )   0.0464334625
    43(H )   0.0746370327
    44(H )  -0.0638999983
    45(H )   0.0080434629
    46(H )   0.0332029515
    47(H )   0.0338822301
    48(H )   0.0423706809
    49(H )   0.0498743861
    50(H )   0.0878674450
    51(H )   0.0701930542
    52(H )  -0.0245744767
    53(H )   0.0252910114
    54(H )   0.0056185833
    55(H )  -0.0028443475
    56(H )  -0.0927405999
    57(H )   0.0399943911
    58(H )   0.0491285732
    59(H )   0.0399800421
    60(H )   0.0383357608
    61(H )   0.0426246012
    62(H )   0.0393793166
    63(H )   0.0629157162
    64(H )   0.0617229576
    65(H )   0.0648094653
    66(H )   0.0354957232
    67(H )   0.0312419798
    68(H )   0.0279784269
